|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
|05-Mayıs|0122101. (Su)|0.5312|
||0451001. (Elektrik Ücreti)|0.4123|
||0452101. (Doğal Gaz)|1.1945|
||0830009. (İnternet Ücreti)|76.0468|
|06-Haziran|0122101. (Su)|0.5316|
||0451001. (Elektrik Ücreti)|0.4123|
||0452101. (Doğal Gaz)|1.1956|
||0830009. (İnternet Ücreti)|76.0468|
|07-Temmuz|0122101. (Su)|0.5362|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.1995|
||0830009. (İnternet Ücreti)|81.7459|
|08-Ağustos|0122101. (Su)|0.538|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.1995|
||0830009. (İnternet Ücreti)|81.7459|
|09-Eylül|0122101. (Su)|0.5405|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.2012|
||0830009. (İnternet Ücreti)|81.7459|
|10-Ekim|0122101. (Su)|0.5428|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.1005|
||0830009. (İnternet Ücreti)|81.7459|
|11-Kasım|0122101. (Su)|0.5495|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.102|
||0830009. (İnternet Ücreti)|81.7459|
|12-Aralık|0122101. (Su)|0.5521|
||0451001. (Elektrik Ücreti)|0.4124|
||0452101. (Doğal Gaz)|1.1049|
||0830009. (İnternet Ücreti)|81.7459|
2017|01-Ocak|0122101. (Su)|0.5726|
||0451001. (Elektrik Ücreti)|0.4118|
||0452101. (Doğal Gaz)|1.1121|
||0830009. (İnternet Ücreti)|54.1051|
|02-Şubat|0122101. (Su)|0.5797|
||0451001. (Elektrik Ücreti)|0.4118|
||0452101. (Doğal Gaz)|1.1188|
||0830009. (İnternet Ücreti)|54.1051|
|03-Mart|0122101. (Su)|0.5924|
||0451001. (Elektrik Ücreti)|0.4118|
||0452101. (Doğal Gaz)|1.1264|
||0830009. (İnternet Ücreti)|54.1051|
|04-Nisan|0122101. (Su)|0.6096|
||0451001. (Elektrik Ücreti)|0.4118|
||0452101. (Doğal Gaz)|1.1269|
||0830009. (İnternet Ücreti)|54.1051|
|05-Mayıs|0122101. (Su)|0.6124|
||0451001. (Elektrik Ücreti)|0.4118|
